#{"t_start": 1762344749.4055192, "env_id": "None"}
r,l,t
-32578.367026,2849,10.235656
-35408.254665,2849,26.249962
-35357.495081,2849,43.391195
-35360.502189,2849,63.513187
-32960.795184,2849,75.436706
-30981.539742,2849,92.943625
-17833.664706,2849,104.423314
-24588.489194,2849,124.554137
-22585.255754,2849,142.20268
-16691.05148,2849,154.297112
-17564.287029,2849,173.406276
-3039.179653,2849,189.415699
-13069.993465,2849,211.212874
-7280.329091,2849,222.044421
-28981.609238,2849,246.985851
