#{"t_start": 1762524184.9399095, "env_id": "None"}
r,l,t
-82219.230463,2397,15.137026
-48907.944936,2397,38.071917
-5406.256437,2397,56.285004
-65415.74993,2397,74.91469
-53877.623744,2397,96.690119
34552.888344,2397,123.587561
36279.583726,2397,145.384023
-41491.94536,2397,164.172529
32673.011994,2397,190.814306
-10343.00379,2397,214.569878
35216.854204,2397,241.44605
33111.212972,2397,269.931834
-38423.445207,2397,298.78663
-68870.447852,2397,331.80802
-43821.794445,2397,360.469124
88812.68493,2397,391.196622
